,Ana Pinzon Dep 1:RASI,,Ana Pinzon Dep 1:RPSI,,Ana Pinzon Dep 1:RTHI,,Ana Pinzon Dep 1:RKNE,,Ana Pinzon Dep 1:RTIB,,Ana Pinzon Dep 1:RANK,,Ana Pinzon Dep 1:RHEE,,Ana Pinzon Dep 1:RTOE,
Frame,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z
,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
121,-103.72406,1255.475342,-300.106689,1273.461914,-143.610916,947.187073,-159.25145,788.56781,-248.073273,609.835144,-329.640625,429.870605,-391.557892,397.175995,-181.439362,374.844147
122,-101.317345,1254.775879,-297.529572,1272.579834,-139.931793,946.472717,-155.372498,787.97583,-244.970337,609.549255,-328.567444,430.587646,-390.921356,398.452454,-181.216858,374.317444
123,-98.948105,1254.052124,-294.993469,1271.757568,-136.243607,945.756165,-151.347641,787.37915,-241.771057,609.211731,-327.420837,431.334137,-390.237915,399.868286,-181.033798,373.772308
124,-96.601631,1253.297241,-292.485199,1271.012085,-132.609207,945.03125,-147.23848,786.757874,-238.533203,608.814636,-326.228638,432.079834,-389.528931,401.373322,-180.899063,373.21402
125,-94.25515,1252.51062,-289.984009,1270.363281,-129.106415,944.299316,-143.144043,786.101013,-235.331726,608.359924,-325.028198,432.793213,-388.820709,402.904572,-180.818375,372.647308
126,-91.878738,1251.701782,-287.461945,1269.837036,-125.821991,943.572205,-139.194473,785.411072,-232.254395,607.862122,-323.863312,433.446289,-388.142273,404.394196,-180.793564,372.076508
127,-89.436974,1250.891724,-284.885345,1269.464355,-122.843468,942.874939,-135.540024,784.708679,-229.395477,607.350708,-322.77948,434.019897,-387.521393,405.780212,-180.822159,371.505127
128,-86.89119,1250.114624,-282.217133,1269.283447,-120.249725,942.247009,-132.335892,784.035522,-226.847504,606.871338,-321.818054,434.508362,-386.979767,407.017517,-180.897644,370.935394
129,-84.20237,1249.419189,-279.419067,1269.338257,-118.101418,941.743042,-129.724777,783.454956,-224.692459,606.484924,-321.009521,434.922729,-386.527802,408.08783,-181.009933,370.367462
130,-81.334267,1248.866943,-276.454437,1269.679565,-116.432167,941.430298,-127.819359,783.049744,-222.99263,606.265991,-320.366791,435.292542,-386.159332,409.007141,-181.146683,369.799316
